#options: 2560x1440 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2243 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:117 out:114 type:P dur:2 cpbdur:2 q:35.70 aq:28.09 tex:1841 mv:202 misc:765 imb:0 pmb:29 smb:14371 d:- ref:0 ;
in:115 out:115 type:B dur:2 cpbdur:2 q:35.94 aq:37.00 tex:0 mv:8 misc:648 imb:0 pmb:1 smb:14399 d:- ref:0 ;
in:114 out:116 type:b dur:2 cpbdur:2 q:36.06 aq:40.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:35.82 aq:39.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:121 out:118 type:P dur:2 cpbdur:2 q:34.73 aq:25.74 tex:4792 mv:182 misc:1090 imb:0 pmb:98 smb:14302 d:- ref:0 ;
in:119 out:119 type:B dur:2 cpbdur:2 q:35.21 aq:37.00 tex:0 mv:0 misc:640 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:118 out:120 type:b dur:2 cpbdur:2 q:35.46 aq:39.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:120 out:121 type:b dur:2 cpbdur:2 q:34.97 aq:38.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:125 out:122 type:P dur:2 cpbdur:2 q:33.85 aq:23.63 tex:41512 mv:397 misc:4139 imb:0 pmb:766 smb:13634 d:- ref:0 ;
in:123 out:123 type:B dur:2 cpbdur:2 q:34.29 aq:36.00 tex:0 mv:0 misc:640 imb:0 pmb:0 smb:14400 d:- ref:0 ;
